professor_name,lecture_name,aspect,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,like,semester,rate,index,url_id,duplicated,duplicated_id,cnt,label,score
David M Hindman,English Reading Practice 1,수업,7271.5,2291.5,15890.1,0.2,19.2,82.0,11.8,1788470.0,1.0,3175.9,2.5,,0.9
David M Hindman,English Reading Practice 1,시험,7276.222222222223,2296.222222222222,15896.666666666666,0.1111111111111111,19.0,80.0,14.666666666666666,1788470.0,1.0,3177.777777777778,1.4444444444444444,,0.6666666666666666
David M Hindman,English Reading Practice 1,학점,7269.5,2289.5,15886.5,0.0,19.5,75.0,10.25,1788470.0,1.0,3175.25,2.0,,0.875
David M Hindman,영어로하는프리젠테이션,과제,2033.0,2033.0,13654.0,0.0,19.0,80.0,0.0,537096.0,1.0,893.0,2.0,,0.0
David M Hindman,영어로하는프리젠테이션,교수,2035.0,2035.0,13654.0,0.0,19.0,80.0,0.0,537096.0,1.0,893.0,1.0,,0.0
David M Hindman,영어로하는프리젠테이션,수업,2034.0,2034.0,13654.0,0.0,19.0,80.0,0.0,537096.0,1.0,893.0,4.0,,0.0
David M Hindman,영어로하는프리젠테이션,학점,2032.0,2032.0,13654.0,0.0,19.0,80.0,0.0,537096.0,1.0,893.0,3.0,,0.0
Gordon MacCoy,English Listening Practice 1,과제,5318.8,338.8,9899.2,0.0,18.6,80.0,9.9,1628720.0,1.0,2316.9,1.0,,0.2
Gordon MacCoy,English Listening Practice 1,수업,5317.666666666667,337.6666666666667,9900.666666666666,0.16666666666666666,18.833333333333332,76.66666666666667,10.166666666666666,1628720.0,1.0,2316.5,2.1666666666666665,,1.0
Gordon MacCoy,English Listening Practice 1,시험,5318.0,338.0,9896.57142857143,0.0,18.714285714285715,74.28571428571429,9.857142857142858,1628720.0,1.0,2316.5714285714284,1.8571428571428572,,0.42857142857142855
Gordon MacCoy,English Listening Practice 1,학점,5314.0,334.0,9882.4,0.0,19.6,88.0,6.0,1628720.0,1.0,2314.0,2.2,,0.8
Gordon MacCoy,Job Hunting Skills,과제,2648.0,2648.0,13041.0,0.0,19.0,60.0,0.0,541252.0,1.0,1156.0,2.0,,0.0
Gordon MacCoy,Job Hunting Skills,교수,2649.0,2649.0,13041.0,0.0,19.0,60.0,0.0,541252.0,1.0,1156.0,1.0,,0.0
Gordon MacCoy,글로벌잉글리쉬1(진로탐색),교수,2043.0,2043.0,13692.0,0.0,19.0,80.0,0.0,537126.0,1.0,897.0,1.0,,-1.0
Gordon MacCoy,글로벌잉글리쉬1(진로탐색),수업,2044.0,2044.0,13692.0,0.0,19.0,80.0,0.0,537126.0,1.0,897.0,2.0,,-1.0
Gordon Maccoy,English Reading Practice 1,과제,8769.75,3789.75,15941.75,0.0,19.75,85.0,8.25,1950678.0,1.0,3818.0,1.5,,0.5
Gordon Maccoy,English Reading Practice 1,교수,8773.5,3793.5,15948.5,0.0,19.5,90.0,13.0,1950678.0,1.0,3819.75,1.0,,0.5
Gordon Maccoy,English Reading Practice 1,수업,8773.0,3793.0,15946.4,0.0,19.4,88.0,12.0,1950678.0,1.0,3819.4,2.4,,0.6
Gordon Maccoy,English Reading Practice 1,시험,8768.75,3788.75,15938.5,0.0,19.75,80.0,6.75,1950678.0,1.0,3817.5,2.0,,0.5
Gordon Maccoy,English Reading Practice 1,학점,8774.0,3794.0,15951.0,0.0,19.0,100.0,14.0,1950678.0,1.0,3820.0,1.0,,1.0
Joanne Kim-Yamada,English Listening Practice 1,과제,5275.0,295.0,10337.333333333334,0.3333333333333333,19.25,71.66666666666667,13.416666666666666,1628718.0,1.0,2295.4166666666665,1.4166666666666667,1.0,0.3333333333333333
Joanne Kim-Yamada,English Listening Practice 1,교수,5275.1,295.1,10337.4,0.9,19.3,64.0,13.0,1628718.0,1.0,2295.1,1.0,-1.0,0.4
Joanne Kim-Yamada,English Listening Practice 1,수업,5278.923076923077,298.9230769230769,10342.384615384615,0.3076923076923077,19.076923076923077,63.07692307692308,15.923076923076923,1628718.0,1.0,2296.923076923077,2.3076923076923075,1.0,0.6153846153846154
